Indicator;Source_Type;Country;Disaggregation;Year;Value;Standard Deviation;Number of observations;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Male and female adults in the household;2010;53.799999;0.25999999;1821;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 1;2010;60.099998;0.28;557;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 2;2010;54.299999;0.25999999;567;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 3;2010;53.5;0.25;524;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 4;2010;51.799999;0.25999999;414;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 5;2010;45.200001;0.28999999;219;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Small holder farms;2010;60.099998;0.27000001;1501;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Non-small holder farms;2010;47.299999;0.25;792;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture greater than 30%;2010;53.299999;0.25999999;1579;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture lower than 30%;2010;56.400002;0.28;716;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;National;2010;54.200001;0.27000001;2295;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Rural;2011;56.599998;0.23999999;1875;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Urban;2011;62.5;0.28;252;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only male adults in the household;2011;53.599998;0.28;102;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only female adults in the household;2011;61;0.23;352;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Male and female adults in the household;2011;56.299999;0.25;1670;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 1;2011;63.799999;0.25999999;483;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 2;2011;57.599998;0.23;458;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 3;2011;54.700001;0.23999999;471;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 4;2011;53.700001;0.22;370;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 5;2011;49.400002;0.28;283;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Small holder farms;2011;63.200001;0.23999999;1378;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Non-small holder farms;2011;50.799999;0.23;749;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture greater than 30%;2011;55.599998;0.23999999;1548;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture lower than 30%;2011;61;0.25999999;579;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;National;2011;57;0.25;2127;57;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Rural;2012;63.200001;0.25999999;1912;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Urban;2012;63.900002;0.28999999;259;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only male adults in the household;2012;51.099998;0.28999999;93;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only female adults in the household;2012;73.199997;0.22;357;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Male and female adults in the household;2012;61.599998;0.25999999;1719;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 1;2012;71.199997;0.25;608;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 2;2012;63.200001;0.25999999;478;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 3;2012;61.099998;0.28;469;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 4;2012;60;0.23999999;385;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 5;2012;54.900002;0.25;226;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Small holder farms;2012;68.400002;0.25999999;1633;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Non-small holder farms;2012;58.799999;0.25999999;538;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture greater than 30%;2012;62.700001;0.25999999;1595;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture lower than 30%;2012;64.800003;0.27000001;576;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;National;2012;63.200001;0.25999999;2171;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Rural;2014;56.799999;0.28;2071;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Urban;2014;60.599998;0.30000001;339;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only male adults in the household;2014;42.400002;0.28999999;106;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only female adults in the household;2014;60.599998;0.25999999;366;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Male and female adults in the household;2014;57.5;0.28;1937;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 1;2014;62.900002;0.28999999;593;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 2;2014;61;0.28999999;545;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 3;2014;57;0.25999999;501;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 4;2014;52.799999;0.27000001;469;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 5;2014;49.099998;0.28;301;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Small holder farms;2014;62.299999;0.27000001;1529;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Non-small holder farms;2014;51.200001;0.28;875;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture greater than 30%;2014;55.200001;0.28;1510;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture lower than 30%;2014;61.5;0.28999999;900;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;National;2014;57.400002;0.28;2410;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Rural;2016;54.200001;0.25999999;2154;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Urban;2016;55.299999;0.30000001;341;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only male adults in the household;2016;45.900002;0.30000001;195;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Only female adults in the household;2016;59.799999;0.27000001;463;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Male and female adults in the household;2016;53.900002;0.25999999;1828;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 1;2016;59.599998;0.25999999;622;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 2;2016;55.299999;0.25999999;585;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 3;2016;56;0.27000001;541;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 4;2016;50;0.25999999;460;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Expenditure quintile 5;2016;47.299999;0.25999999;271;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Small holder farms;2016;60.799999;0.27000001;1632;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Non-small holder farms;2016;47.5;0.23999999;863;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture greater than 30%;2016;54.299999;0.25999999;1565;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;Income from agriculture lower than 30%;2016;54.5;0.28;930;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Uganda;National;2016;54.400002;0.27000001;2495;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Rural;2009;57.599998;0.34;1866;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Urban;2009;63.900002;0.37;274;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only male adults in the household;2009;44;0.34999999;87;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only female adults in the household;2009;68.699997;0.33000001;318;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Male and female adults in the household;2009;57;0.34999999;1735;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 1;2009;62.200001;0.34;501;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 2;2009;58.299999;0.33000001;506;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 3;2009;57.599998;0.34999999;468;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 4;2009;56.799999;0.34999999;405;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 5;2009;53.400002;0.38;260;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Small holder farms;2009;65.800003;0.33000001;1437;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Non-small holder farms;2009;47.400002;0.34;700;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture greater than 30%;2009;56.799999;0.34;1587;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture lower than 30%;2009;63.200001;0.36000001;553;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;National;2009;58.200001;0.34999999;2140;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Rural;2011;58.099998;0.34999999;1916;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Urban;2011;64.699997;0.36000001;338;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only male adults in the household;2011;53.900002;0.37;65;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only female adults in the household;2011;68.5;0.34;288;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Male and female adults in the household;2011;57.599998;0.34999999;1901;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 1;2011;65;0.34;551;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 2;2011;57.799999;0.34999999;552;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 3;2011;56.799999;0.34999999;489;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 4;2011;56.900002;0.37;410;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 5;2011;55;0.37;217;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Small holder farms;2011;68.199997;0.34;1521;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Non-small holder farms;2011;46.200001;0.33000001;728;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture greater than 30%;2011;57;0.34999999;1636;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture lower than 30%;2011;65.099998;0.36000001;618;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;National;2011;59;0.34999999;2254;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Rural;2013;65.599998;0.31999999;2484;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Urban;2013;68;0.31999999;473;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only male adults in the household;2013;60.200001;0.34;121;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only female adults in the household;2013;73.699997;0.28999999;356;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Male and female adults in the household;2013;64.900002;0.31999999;2480;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 1;2013;69.099998;0.30000001;711;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 2;2013;65.900002;0.31999999;737;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 3;2013;66.199997;0.31;692;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 4;2013;64.400002;0.31999999;516;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 5;2013;57.5;0.36000001;241;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Small holder farms;2013;72.699997;0.30000001;2041;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Non-small holder farms;2013;57.400002;0.31999999;914;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture greater than 30%;2013;63.400002;0.31;2077;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture lower than 30%;2013;72.900002;0.31999999;880;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;National;2013;65.900002;0.31999999;2957;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Rural;2015;51.099998;0.30000001;1627;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Urban;2015;52.700001;0.34;279;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only male adults in the household;2015;33.799999;0.28;95;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Only female adults in the household;2015;59.900002;0.31999999;315;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Male and female adults in the household;2015;50.5;0.30000001;1496;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 1;2015;58.900002;0.30000001;512;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 2;2015;54.299999;0.30000001;502;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 3;2015;48.700001;0.31;405;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 4;2015;43.700001;0.31;308;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Expenditure quintile 5;2015;39.799999;0.31;175;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Small holder farms;2015;59.200001;0.31;1262;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Non-small holder farms;2015;40.099998;0.27000001;644;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture greater than 30%;2015;49.700001;0.28999999;1358;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;Income from agriculture lower than 30%;2015;55.200001;0.34;548;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;United Republic of Tanzania;National;2015;51.299999;0.31;1906;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Rural;2010;59.099998;0.34;5215;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Urban;2010;51.200001;0.38999999;616;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Only male adults in the household;2010;59.900002;0.38;86;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Only female adults in the household;2010;59.200001;0.34;385;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Male and female adults in the household;2010;58.200001;0.34999999;5360;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Expenditure quintile 1;2010;63.900002;0.31999999;1747;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Expenditure quintile 2;2010;58.200001;0.34;1408;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Expenditure quintile 3;2010;56.5;0.34999999;1254;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Expenditure quintile 4;2010;54;0.37;972;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Expenditure quintile 5;2010;53.5;0.40000001;450;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Small holder farms;2010;65.900002;0.34;3426;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Non-small holder farms;2010;48.700001;0.34;2396;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Income from agriculture greater than 30%;2010;56.900002;0.34;4665;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;Income from agriculture lower than 30%;2010;63.799999;0.38999999;1166;;
Value of crop used for own consumption, share of total value of crop production (%);Household level;Viet Nam;National;2010;58.299999;0.34999999;5831;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Rural;2005;7992.2402;14916.19;1497;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Urban;2005;23377.58;44269.02;190;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Only female adults in the household;2005;9455;11277.7;38;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Male and female adults in the household;2005;9621.4697;20831.369;1634;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Expenditure quintile 1;2005;7046.7598;13548.8;450;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Expenditure quintile 2;2005;7814.9102;12544.08;417;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Expenditure quintile 3;2005;10333.68;22284.369;333;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Expenditure quintile 4;2005;9868.2305;21677.199;288;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Expenditure quintile 5;2005;15867.05;33217.16;199;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Small holder farms;2005;12538.97;25007.01;1032;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Non-small holder farms;2005;7076.21;15441.34;655;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Income from agriculture greater than 30%;2005;7215.3398;13693.88;1230;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;Income from agriculture lower than 30%;2005;15271.57;30741.561;457;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Albania;National;2005;9585.7002;20574.33;1687;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Rural;2010;10936.91;11158;3074;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Urban;2010;32148.43;28252.68;598;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Only male adults in the household;2010;11915.64;13949.46;53;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Only female adults in the household;2010;13008.18;10924.41;252;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Male and female adults in the household;2010;14241.89;17229.07;3367;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 1;2010;13176.62;15359.97;1244;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 2;2010;13750.92;15768.65;870;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 3;2010;16820.65;22671.301;699;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 4;2010;13177.93;12887.74;487;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 5;2010;14489.34;15341.5;372;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Small holder farms;2010;18358.15;19447.279;2888;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Non-small holder farms;2010;8348.2803;9757.9902;784;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Income from agriculture greater than 30%;2010;11714.25;13513.32;2490;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Income from agriculture lower than 30%;2010;19266.15;21417.66;1182;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;National;2010;14119.02;16814.76;3672;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Rural;2013;11882.08;14844.68;1645;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Urban;2013;31304.98;24651.76;409;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Only male adults in the household;2013;9458.6797;7810.96;36;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Only female adults in the household;2013;14774.22;12403.6;182;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Male and female adults in the household;2013;15097.49;18814.92;1836;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 1;2013;15059.6;20212.02;428;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 2;2013;14124.04;16574.439;458;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 3;2013;14866.84;19235.689;448;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 4;2013;14933.76;14396.81;414;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Expenditure quintile 5;2013;16287.91;20655.561;306;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Small holder farms;2013;18097.76;18229.4;1443;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Non-small holder farms;2013;8396.2998;16383.44;611;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Income from agriculture greater than 30%;2013;12361.91;16565.16;1204;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;Income from agriculture lower than 30%;2013;18670.98;19778.26;850;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Armenia;National;2013;14968.77;18224.08;2054;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Rural;2010;3893.4399;16938.58;4134;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Urban;2010;3724.47;5981.1899;679;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Only female adults in the household;2010;3590.2;7651.3599;221;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Male and female adults in the household;2010;3902.6299;16763.939;4568;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Expenditure quintile 1;2010;4424.4502;24811.08;902;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Expenditure quintile 2;2010;3198.53;4482.8901;1073;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Expenditure quintile 3;2010;4570.0098;19146.561;1099;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Expenditure quintile 4;2010;4093.5901;17655.09;986;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Expenditure quintile 5;2010;2917.3501;3637.3201;753;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Small holder farms;2010;3217.1201;4797.6001;2812;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Non-small holder farms;2010;4652.9502;23547.949;2001;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Income from agriculture greater than 30%;2010;4183.1001;18061.35;2942;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;Income from agriculture lower than 30%;2010;3365.45;13113.26;1871;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bangladesh;National;2010;3881.7;16415.07;4813;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Rural;2019;1345.24;4868.8101;2474;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Urban;2019;1785.6;12287.97;944;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Only male adults in the household;2019;1612.67;3905.53;167;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Only female adults in the household;2019;1883.4;10687.29;342;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Male and female adults in the household;2019;1397.58;7244.4102;2907;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Expenditure quintile 1;2019;1212.8101;6902.2798;1062;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Expenditure quintile 2;2019;1402.39;10265.49;856;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Expenditure quintile 3;2019;1389.66;3072.6201;691;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Expenditure quintile 4;2019;1459.13;2823.8401;518;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Expenditure quintile 5;2019;2720.3301;12290.04;291;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Small holder farms;2019;1284.6;3253.1299;2549;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Non-small holder farms;2019;1838.99;12518.08;868;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Income from agriculture greater than 30%;2019;1591.36;8673.6797;2471;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;Income from agriculture lower than 30%;2019;1117.98;2983.8401;946;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Benin;National;2019;1460.0601;7542.6899;3418;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Rural;2008;95889.492;1298681.8;502;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Only male adults in the household;2008;9712.54;15576.43;39;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Only female adults in the household;2008;437015.72;3204079.8;89;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Male and female adults in the household;2008;29837.4;157146.77;394;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Expenditure quintile 1;2008;28467.939;194745.27;221;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Expenditure quintile 2;2008;234072.05;2326196.8;151;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Expenditure quintile 3;2008;33950.59;124334.96;73;;
Value of production per hectare/year, PPP (constant 2011 international USD);Household level;Bolivia (Plurinational State of);Expenditure quintile 4;2008;30612.02;103511.11;48;;
